<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20190731;030800;5.5579000;5.5591000;5.5561000;5.5587000;66
20190731;030900;5.5579000;5.5593000;5.5560000;5.5576000;172
20190731;031000;5.5580000;5.5592000;5.5561000;5.5579000;63
20190731;031100;5.5579000;5.5593000;5.5553000;5.5567000;167
20190731;031200;5.5573000;5.5587000;5.5557000;5.5570000;95
20190731;031300;5.5575000;5.5586000;5.5558000;5.5575000;74
20190731;031400;5.5575000;5.5600000;5.5558000;5.5590000;281
20190731;031500;5.5582000;5.5594000;5.5557000;5.5574000;244
20190731;031600;5.5587000;5.5592000;5.5558000;5.5580000;164
20190731;031700;5.5583000;5.5590000;5.5562000;5.5579000;65
20190731;031800;5.5573000;5.5590000;5.5562000;5.5578000;66
20190731;031900;5.5578000;5.5596000;5.5559000;5.5585000;212
20190731;032000;5.5590000;5.5598000;5.5566000;5.5582000;88
20190731;032100;5.5592000;5.5601000;5.5567000;5.5589000;138
20190731;032200;5.5587000;5.5601000;5.5568000;5.5587000;97
20190731;032300;5.5587000;5.5601000;5.5566000;5.5587000;39
20190731;032400;5.5587000;5.5601000;5.5567000;5.5581000;41
20190731;032500;5.5587000;5.5603000;5.5568000;5.5582000;154
20190731;032600;5.5591500;5.5602000;5.5567000;5.5590400;183
20190731;032700;5.5586000;5.5603000;5.5570000;5.5586000;145
20190731;032800;5.5588000;5.5604000;5.5550000;5.5584000;298
20190731;032900;5.5567000;5.5599000;5.5561000;5.5580700;377
20190731;033000;5.5580700;5.5596000;5.5562000;5.5568000;100
20190731;033100;5.5582000;5.5596000;5.5562000;5.5582000;83
20190731;033200;5.5582000;5.5596000;5.5564000;5.5575000;49
20190731;033300;5.5582000;5.5596000;5.5563000;5.5582000;75
20190731;033400;5.5582000;5.5598000;5.5563000;5.5598000;176
20190731;033500;5.5583500;5.5599000;5.5562000;5.5584000;110
20190731;033600;5.5579000;5.5597000;5.5562000;5.5586900;134
20190731;033700;5.5583000;5.5595000;5.5566000;5.5583000;80
20190731;033800;5.5583000;5.5590400;5.5563000;5.5583000;68
20190731;033900;5.5583000;5.5592000;5.5565000;5.5585000;50
20190731;034000;5.5583000;5.5587300;5.5568000;5.5580000;51
20190731;034100;5.5579000;5.5590000;5.5565000;5.5583000;40
20190731;034200;5.5583000;5.5590300;5.5565000;5.5587000;50
20190731;034300;5.5583000;5.5590400;5.5562000;5.5576000;49
20190731;034400;5.5584000;5.5590400;5.5564000;5.5587000;52
20190731;034500;5.5583000;5.5605000;5.5563000;5.5584000;264
20190731;034600;5.5578000;5.5596000;5.5564000;5.5585000;137
20190731;034700;5.5583000;5.5595000;5.5562000;5.5583000;63
20190731;034800;5.5583000;5.5595000;5.5565000;5.5575000;63
20190731;034900;5.5584000;5.5595000;5.5561000;5.5589000;130
20190731;035000;5.5580000;5.5595000;5.5561000;5.5586000;66
20190731;035100;5.5580000;5.5620000;5.5550000;5.5594000;578
20190731;035200;5.5594000;5.5610000;5.5568000;5.5589000;1336
20190731;035300;5.5579000;5.5610000;5.5569000;5.5602000;205
20190731;035400;5.5588000;5.5608000;5.5569000;5.5608000;221
20190731;035500;5.5573000;5.5618000;5.5570000;5.5592500;372
20190731;035600;5.5603000;5.5613000;5.5569000;5.5611000;228
20190731;035700;5.5573000;5.5610000;5.5571000;5.5602000;173
20190731;035800;5.5595000;5.5615000;5.5571000;5.5598000;247
20190731;035900;5.5597500;5.5610000;5.5575000;5.5597000;196
20190731;040000;5.5597000;5.5617000;5.5575000;5.5599000;236
20190731;040100;5.5613000;5.5619000;5.5565000;5.5591000;410
20190731;040200;5.5606000;5.5620000;5.5580000;5.5602000;186
20190731;040300;5.5608000;5.5619000;5.5577000;5.5603000;347
20190731;040400;5.5603000;5.5616000;5.5580000;5.5607000;169
20190731;040500;5.5609000;5.5619000;5.5581000;5.5610000;146
20190731;040600;5.5604000;5.5622000;5.5583000;5.5621000;460
20190731;040700;5.5608400;5.5622000;5.5583000;5.5612000;136
20190731;040800;5.5613000;5.5622000;5.5584000;5.5608000;123
20190731;040900;5.5608000;5.5621000;5.5584000;5.5611000;164
20190731;041000;5.5608000;5.5622000;5.5584000;5.5606000;168
